instansi,tahun,bulan,capaian_pengadaan,capaian_kontrak,capaian_pelaksanaan,capaian_PHO
"Badan Pengawas Pemilihan Umum",2013,2,11.4,,,
"Badan Pengawas Pemilihan Umum",2013,3,18.6,10.8,3.5,
"Badan Pengawas Pemilihan Umum",2013,4,26.8,17.3,8.7,
"Badan Pengawas Pemilihan Umum",2013,5,35.7,24.2,15.6,
"Badan Pengawas Pemilihan Umum",2013,6,47.4,34.8,26,
"Badan Pengawas Pemilihan Umum",2013,7,63.3,48,36,
"Badan Pengawas Pemilihan Umum",2013,8,79.6,59.3,47.8,
"Badan Pengawas Pemilihan Umum",2013,9,95.1,85.5,61.7,
"Badan Pengawas Pemilihan Umum",2013,10,,,,
"Badan Pengawas Pemilihan Umum",2013,11,,,,
"Badan Pengawas Pemilihan Umum",2013,12,,,,
"Badan Pengawas Tenaga Nuklir",2012,1,,,,
"Badan Pengawas Tenaga Nuklir",2012,2,2,,,
"Badan Pengawas Tenaga Nuklir",2012,3,2,,3.9,
"Badan Pengawas Tenaga Nuklir",2012,4,6.2,5.6,5.2,
"Badan Pengawas Tenaga Nuklir",2012,5,14.34,16.26,16.26,
"Badan Pengawas Tenaga Nuklir",2012,6,15.43,18.83,18.83,
"Badan Pengawas Tenaga Nuklir",2012,7,16.52,19.4,19.4,
"Badan Pengawas Tenaga Nuklir",2012,8,31.07,21.43,21.43,
"Badan Pengawas Tenaga Nuklir",2012,9,41.04,44.13,44.13,44.13
"Badan Pengawas Tenaga Nuklir",2012,10,42,48.13,48.13,48.13
"Badan Pengawas Tenaga Nuklir",2012,11,43,54.93,54.93,54.93
"Badan Pengawas Tenaga Nuklir",2012,12,97.1,95,100,100
"Badan Pengawas Tenaga Nuklir",2013,1,.07,,,
"Badan Pengawas Tenaga Nuklir",2013,2,.08,,,
"Badan Pengawas Tenaga Nuklir",2013,3,.17,.06,.02,.02
"Badan Pengawas Tenaga Nuklir",2013,4,.17,.12,.08,.02
"Badan Pengawas Tenaga Nuklir",2013,5,19.93,14.85,11.19,2.62
"Badan Pengawas Tenaga Nuklir",2013,6,43,15,11.62,3.96
"Badan Pengawas Tenaga Nuklir",2013,7,45,25,20,4
"Badan Pengawas Tenaga Nuklir",2013,8,89.55,79.74,76.08,13.19
"Badan Pengawas Tenaga Nuklir",2013,9,100,88.36,84.7,13.71
"Badan Pengawas Tenaga Nuklir",2013,10,,,,
"Badan Pengawas Tenaga Nuklir",2013,11,,,,
"Badan Pengawas Tenaga Nuklir",2013,12,,,,
"Badan Pengawasan Keuangan dan Pembangunan (BPKP)",2012,1,29.63,,,
"Badan Pengawasan Keuangan dan Pembangunan (BPKP)",2012,2,48.15,,,
"Badan Pengawasan Keuangan dan Pembangunan (BPKP)",2012,3,61.11,57.41,57.41,9.26
"Badan Pengawasan Keuangan dan Pembangunan (BPKP)",2012,4,74.07,64.81,64.81,25.93
"Badan Pengawasan Keuangan dan Pembangunan (BPKP)",2012,5,79.63,75.93,75.93,33.33
"Badan Pengawasan Keuangan dan Pembangunan (BPKP)",2012,6,83.33,81.48,81.48,55.56
"Badan Pengawasan Keuangan dan Pembangunan (BPKP)",2012,7,85.19,83.33,83.33,57.41
"Badan Pengawasan Keuangan dan Pembangunan (BPKP)",2012,8,92.59,83.33,83.33,62.96
"Badan Pengawasan Keuangan dan Pembangunan (BPKP)",2012,9,100,92.59,92.59,68.52
"Badan Pengawasan Keuangan dan Pembangunan (BPKP)",2012,10,,100,100,75.93
"Badan Pengawasan Keuangan dan Pembangunan (BPKP)",2012,11,,100,100,81.48
"Badan Pengawasan Keuangan dan Pembangunan (BPKP)",2012,12,,100,100,100
"Badan Pengawasan Keuangan dan Pembangunan (BPKP)",2013,1,27.03,,,
"Badan Pengawasan Keuangan dan Pembangunan (BPKP)",2013,2,32.43,,,
"Badan Pengawasan Keuangan dan Pembangunan (BPKP)",2013,3,35.14,29.73,29.73,
"Badan Pengawasan Keuangan dan Pembangunan (BPKP)",2013,4,51.35,37.84,37.84,
"Badan Pengawasan Keuangan dan Pembangunan (BPKP)",2013,5,67.57,43.24,43.24,13.51
"Badan Pengawasan Keuangan dan Pembangunan (BPKP)",2013,6,86.49,72.97,72.97,24.32
"Badan Pengawasan Keuangan dan Pembangunan (BPKP)",2013,7,100,86.49,86.49,37.84
"Badan Pengawasan Keuangan dan Pembangunan (BPKP)",2013,8,,86.49,86.49,37.84
"Badan Pengawasan Keuangan dan Pembangunan (BPKP)",2013,9,,97.3,97.3,51.35
"Badan Pengawasan Keuangan dan Pembangunan (BPKP)",2013,10,,,,
"Badan Pengawasan Keuangan dan Pembangunan (BPKP)",2013,11,,,,
"Badan Pengawasan Keuangan dan Pembangunan (BPKP)",2013,12,,,,
"Badan Pengembangan Wilayah Suramadu",2012,1,,,,
"Badan Pengembangan Wilayah Suramadu",2012,2,,,,
"Badan Pengembangan Wilayah Suramadu",2012,3,11,11,,
"Badan Pengembangan Wilayah Suramadu",2012,4,54,48,,
"Badan Pengembangan Wilayah Suramadu",2012,5,68.9,68.9,48,
"Badan Pengembangan Wilayah Suramadu",2012,6,71.11,71.11,48,
"Badan Pengembangan Wilayah Suramadu",2012,7,80,80,48,
"Badan Pengembangan Wilayah Suramadu",2012,8,86.67,86.67,48,
"Badan Pengembangan Wilayah Suramadu",2012,9,95,95,95,5
"Badan Pengembangan Wilayah Suramadu",2012,10,100,100,100,10
"Badan Pengembangan Wilayah Suramadu",2012,11,,,,60
"Badan Pengembangan Wilayah Suramadu",2012,12,,,,99
"Badan Pengembangan Wilayah Suramadu",2013,1,,,,
"Badan Pengembangan Wilayah Suramadu",2013,2,,,,
"Badan Pengembangan Wilayah Suramadu",2013,3,,,,
"Badan Pengembangan Wilayah Suramadu",2013,4,42.86,21.43,21.43,
"Badan Pengembangan Wilayah Suramadu",2013,5,,,,
"Badan Pengembangan Wilayah Suramadu",2013,6,,,,
"Badan Pengembangan Wilayah Suramadu",2013,7,79.66,69.49,69.49,6.78
"Badan Pengembangan Wilayah Suramadu",2013,8,79.66,69.49,69.49,6.78
"Badan Pengembangan Wilayah Suramadu",2013,9,,,,
"Badan Pengembangan Wilayah Suramadu",2013,10,79.66,77.97,77.97,6.78
"Badan Pengembangan Wilayah Suramadu",2013,11,,,,
"Badan Pengembangan Wilayah Suramadu",2013,12,,,,
"Badan Pengkajian dan Penerapan Teknologi",2012,1,30,,,
"Badan Pengkajian dan Penerapan Teknologi",2012,2,46,,,
"Badan Pengkajian dan Penerapan Teknologi",2012,3,46,46,,
"Badan Pengkajian dan Penerapan Teknologi",2012,4,46,46,,
"Badan Pengkajian dan Penerapan Teknologi",2012,5,54,54,,
"Badan Pengkajian dan Penerapan Teknologi",2012,6,78,62,,
"Badan Pengkajian dan Penerapan Teknologi",2012,7,84,68,,
"Badan Pengkajian dan Penerapan Teknologi",2012,8,92,76,,
"Badan Pengkajian dan Penerapan Teknologi",2012,9,95,95,,
"Badan Pengkajian dan Penerapan Teknologi",2012,10,97,97,,
"Badan Pengkajian dan Penerapan Teknologi",2012,11,,,,
"Badan Pengkajian dan Penerapan Teknologi",2012,12,,,,
"Badan Pengkajian dan Penerapan Teknologi",2013,1,,,,
"Badan Pengkajian dan Penerapan Teknologi",2013,2,,,,
"Badan Pengkajian dan Penerapan Teknologi",2013,3,,,,
"Badan Pengkajian dan Penerapan Teknologi",2013,4,,,,
"Badan Pengkajian dan Penerapan Teknologi",2013,5,,,,
"Badan Pengkajian dan Penerapan Teknologi",2013,6,,,,
"Badan Pengkajian dan Penerapan Teknologi",2013,7,,,,
"Badan Pengkajian dan Penerapan Teknologi",2013,8,,,,
"Badan Pengkajian dan Penerapan Teknologi",2013,9,,,,
"Badan Pengkajian dan Penerapan Teknologi",2013,10,,,,
"Badan Pengkajian dan Penerapan Teknologi",2013,11,,,,
"Badan Pengkajian dan Penerapan Teknologi",2013,12,,,,
"Badan Pengusahaan Batam",2012,1,,,,
"Badan Pengusahaan Batam",2012,2,,,,
"Badan Pengusahaan Batam",2012,3,,,,
"Badan Pengusahaan Batam",2012,4,,,,
"Badan Pengusahaan Batam",2012,5,100,94,36.4,
"Badan Pengusahaan Batam",2012,6,,100,47,
"Badan Pengusahaan Batam",2012,7,,100,51.71,
"Badan Pengusahaan Batam",2012,8,,100,57.14,
"Badan Pengusahaan Batam",2012,9,,100,58,
"Badan Pengusahaan Batam",2012,10,,100,80,
"Badan Pengusahaan Batam",2012,11,,100,89.25,
"Badan Pengusahaan Batam",2012,12,,100,100,
"Badan Pengusahaan Batam",2013,1,,,,
"Badan Pengusahaan Batam",2013,2,,,,
"Badan Pengusahaan Batam",2013,3,6.45,23,1.5,
"Badan Pengusahaan Batam",2013,4,,23,2.63,
"Badan Pengusahaan Batam",2013,5,,25.36,4.22,
"Badan Pengusahaan Batam",2013,6,,48.27,8.51,
"Badan Pengusahaan Batam",2013,7,,57.26,25.05,
"Badan Pengusahaan Batam",2013,8,,64.27,28.68,
"Badan Pengusahaan Batam",2013,9,,81.57,30.77,
"Badan Pengusahaan Batam",2013,10,,,,
"Badan Pengusahaan Batam",2013,11,,,,
"Badan Pengusahaan Batam",2013,12,,,,
"Badan Pengusahaan Kawasan Perdagangan Bebas dan Pelabuhan Bebas Sabang (BPKS)",2012,1,,,,
"Badan Pengusahaan Kawasan Perdagangan Bebas dan Pelabuhan Bebas Sabang (BPKS)",2012,2,,,,
"Badan Pengusahaan Kawasan Perdagangan Bebas dan Pelabuhan Bebas Sabang (BPKS)",2012,3,,,,
"Badan Pengusahaan Kawasan Perdagangan Bebas dan Pelabuhan Bebas Sabang (BPKS)",2012,4,,,,
"Badan Pengusahaan Kawasan Perdagangan Bebas dan Pelabuhan Bebas Sabang (BPKS)",2012,5,,,,
"Badan Pengusahaan Kawasan Perdagangan Bebas dan Pelabuhan Bebas Sabang (BPKS)",2012,6,,,,
"Badan Pengusahaan Kawasan Perdagangan Bebas dan Pelabuhan Bebas Sabang (BPKS)",2012,7,,,,
"Badan Pengusahaan Kawasan Perdagangan Bebas dan Pelabuhan Bebas Sabang (BPKS)",2012,8,,,,
"Badan Pengusahaan Kawasan Perdagangan Bebas dan Pelabuhan Bebas Sabang (BPKS)",2012,9,,,,
"Badan Pengusahaan Kawasan Perdagangan Bebas dan Pelabuhan Bebas Sabang (BPKS)",2012,10,,,,
"Badan Pengusahaan Kawasan Perdagangan Bebas dan Pelabuhan Bebas Sabang (BPKS)",2012,11,,,,
"Badan Pengusahaan Kawasan Perdagangan Bebas dan Pelabuhan Bebas Sabang (BPKS)",2012,12,,,,
"Badan Pengusahaan Kawasan Perdagangan Bebas dan Pelabuhan Bebas Sabang (BPKS)",2013,1,,,,
"Badan Pengusahaan Kawasan Perdagangan Bebas dan Pelabuhan Bebas Sabang (BPKS)",2013,2,,,,
"Badan Pengusahaan Kawasan Perdagangan Bebas dan Pelabuhan Bebas Sabang (BPKS)",2013,3,,,,
"Badan Pengusahaan Kawasan Perdagangan Bebas dan Pelabuhan Bebas Sabang (BPKS)",2013,4,,,,
"Badan Pengusahaan Kawasan Perdagangan Bebas dan Pelabuhan Bebas Sabang (BPKS)",2013,5,,,,
"Badan Pengusahaan Kawasan Perdagangan Bebas dan Pelabuhan Bebas Sabang (BPKS)",2013,6,,,,
"Badan Pengusahaan Kawasan Perdagangan Bebas dan Pelabuhan Bebas Sabang (BPKS)",2013,7,,,,
"Badan Pengusahaan Kawasan Perdagangan Bebas dan Pelabuhan Bebas Sabang (BPKS)",2013,8,,,,
"Badan Pengusahaan Kawasan Perdagangan Bebas dan Pelabuhan Bebas Sabang (BPKS)",2013,9,,,,
"Badan Pengusahaan Kawasan Perdagangan Bebas dan Pelabuhan Bebas Sabang (BPKS)",2013,10,,,,
"Badan Pengusahaan Kawasan Perdagangan Bebas dan Pelabuhan Bebas Sabang (BPKS)",2013,11,,,,
"Badan Pengusahaan Kawasan Perdagangan Bebas dan Pelabuhan Bebas Sabang (BPKS)",2013,12,,,,
"Badan Pertanahan Nasional (BPN)",2012,1,,,,
"Badan Pertanahan Nasional (BPN)",2012,2,,,,
"Badan Pertanahan Nasional (BPN)",2012,3,,,,
"Badan Pertanahan Nasional (BPN)",2012,4,,,,
"Badan Pertanahan Nasional (BPN)",2012,5,,,,
"Badan Pertanahan Nasional (BPN)",2012,6,,,,
"Badan Pertanahan Nasional (BPN)",2012,7,,,,
"Badan Pertanahan Nasional (BPN)",2012,8,,,,
"Badan Pertanahan Nasional (BPN)",2012,9,,,,
"Badan Pertanahan Nasional (BPN)",2012,10,,,,
"Badan Pertanahan Nasional (BPN)",2012,11,,,,
"Badan Pertanahan Nasional (BPN)",2012,12,,,,
"Badan Pertanahan Nasional (BPN)",2013,1,,,,
"Badan Pertanahan Nasional (BPN)",2013,2,,,,
"Badan Pertanahan Nasional (BPN)",2013,3,,,,
"Badan Pertanahan Nasional (BPN)",2013,4,,,,
"Badan Pertanahan Nasional (BPN)",2013,5,,,,
"Badan Pertanahan Nasional (BPN)",2013,6,,,,
"Badan Pertanahan Nasional (BPN)",2013,7,,,,
"Badan Pertanahan Nasional (BPN)",2013,8,,,,
"Badan Pertanahan Nasional (BPN)",2013,9,,,,
"Badan Pertanahan Nasional (BPN)",2013,10,,,,
"Badan Pertanahan Nasional (BPN)",2013,11,,,,
"Badan Pertanahan Nasional (BPN)",2013,12,,,,
"Badan Pusat Statistik (BPS)",2012,1,63.93,,,
"Badan Pusat Statistik (BPS)",2012,2,63.95,,,
"Badan Pusat Statistik (BPS)",2012,3,63.93,50.8,50.8,
"Badan Pusat Statistik (BPS)",2012,4,63.95,51.9,51.9,
"Badan Pusat Statistik (BPS)",2012,5,,,,
"Badan Pusat Statistik (BPS)",2012,6,,,,
"Badan Pusat Statistik (BPS)",2012,7,,,,
"Badan Pusat Statistik (BPS)",2012,8,,,,
"Badan Pusat Statistik (BPS)",2012,9,,,,
"Badan Pusat Statistik (BPS)",2012,10,,,,
"Badan Pusat Statistik (BPS)",2012,11,,,,
"Badan Pusat Statistik (BPS)",2012,12,,,,
"Badan Pusat Statistik (BPS)",2013,1,6.16,,,
"Badan Pusat Statistik (BPS)",2013,2,11.64,,,
"Badan Pusat Statistik (BPS)",2013,3,37.33,20.21,32.58,8.56
"Badan Pusat Statistik (BPS)",2013,4,54.45,36.64,50.75,25.34
"Badan Pusat Statistik (BPS)",2013,5,78.08,59.25,52.69,40.41
"Badan Pusat Statistik (BPS)",2013,6,83.56,65.41,53.39,41.1
"Badan Pusat Statistik (BPS)",2013,7,86.35,74.4,55.19,41.3
"Badan Pusat Statistik (BPS)",2013,8,90.1,82.59,62.57,43
"Badan Pusat Statistik (BPS)",2013,9,97.61,93.86,65.69,45.39
"Badan Pusat Statistik (BPS)",2013,10,,,,
"Badan Pusat Statistik (BPS)",2013,11,,,,
"Badan Pusat Statistik (BPS)",2013,12,,,,
"Badan SAR Nasional",2012,1,,,,
"Badan SAR Nasional",2012,2,100,,,
"Badan SAR Nasional",2012,3,,43.38,43.38,
"Badan SAR Nasional",2012,4,,43.38,43.38,
"Badan SAR Nasional",2012,5,,56,56,
"Badan SAR Nasional",2012,6,,56,56,
"Badan SAR Nasional",2012,7,,70,78,
"Badan SAR Nasional",2012,8,,75,80,
"Badan SAR Nasional",2012,9,,75,80,
"Badan SAR Nasional",2012,10,,89.4,89.4,
"Badan SAR Nasional",2012,11,,95.03,95.03,
"Badan SAR Nasional",2012,12,,100,100,
"Badan SAR Nasional",2013,1,50,,,
"Badan SAR Nasional",2013,2,60,,,
"Badan SAR Nasional",2013,3,70,50,19,
"Badan SAR Nasional",2013,4,80,60,25.5,
"Badan SAR Nasional",2013,5,85,70,33.5,
"Badan SAR Nasional",2013,6,90,75,43.5,
"Badan SAR Nasional",2013,7,100,85,55.8,
"Badan SAR Nasional",2013,8,,,,
"Badan SAR Nasional",2013,9,,,,
"Badan SAR Nasional",2013,10,,,,
"Badan SAR Nasional",2013,11,,,,
"Badan SAR Nasional",2013,12,,,,
"Badan Standarisasi Nasional",2012,1,,,,
"Badan Standarisasi Nasional",2012,2,,,,
"Badan Standarisasi Nasional",2012,3,,,1.46,
"Badan Standarisasi Nasional",2012,4,,,,
"Badan Standarisasi Nasional",2012,5,,,,
"Badan Standarisasi Nasional",2012,6,,,,
"Badan Standarisasi Nasional",2012,7,,,,
"Badan Standarisasi Nasional",2012,8,,,,
"Badan Standarisasi Nasional",2012,9,,,,
"Badan Standarisasi Nasional",2012,10,,,,
"Badan Standarisasi Nasional",2012,11,,,,
"Badan Standarisasi Nasional",2012,12,,,,
"Badan Standarisasi Nasional",2013,1,,,,
"Badan Standarisasi Nasional",2013,2,,,,
"Badan Standarisasi Nasional",2013,3,,,,
"Badan Standarisasi Nasional",2013,4,,,,
"Badan Standarisasi Nasional",2013,5,,,,
"Badan Standarisasi Nasional",2013,6,,,,
"Badan Standarisasi Nasional",2013,7,,,,
"Badan Standarisasi Nasional",2013,8,,,,
"Badan Standarisasi Nasional",2013,9,,,,
"Badan Standarisasi Nasional",2013,10,,,,
"Badan Standarisasi Nasional",2013,11,,,,
"Badan Standarisasi Nasional",2013,12,,,,
"Badan Tenaga Nuklir Nasional (BATAN)",2012,1,3,,,
"Badan Tenaga Nuklir Nasional (BATAN)",2012,2,5,,,
"Badan Tenaga Nuklir Nasional (BATAN)",2012,3,25,25,25,9
"Badan Tenaga Nuklir Nasional (BATAN)",2012,4,27,27,27,10
"Badan Tenaga Nuklir Nasional (BATAN)",2012,5,35,35,35,12
"Badan Tenaga Nuklir Nasional (BATAN)",2012,6,80,80,75,50
"Badan Tenaga Nuklir Nasional (BATAN)",2012,7,96,96,80,59
"Badan Tenaga Nuklir Nasional (BATAN)",2012,8,96,96,89,59
"Badan Tenaga Nuklir Nasional (BATAN)",2012,9,96,96,89,70
"Badan Tenaga Nuklir Nasional (BATAN)",2012,10,96,96,89,75
"Badan Tenaga Nuklir Nasional (BATAN)",2012,11,96,96,89,80
"Badan Tenaga Nuklir Nasional (BATAN)",2012,12,99,99,99,99
"Badan Tenaga Nuklir Nasional (BATAN)",2013,1,34,,,
"Badan Tenaga Nuklir Nasional (BATAN)",2013,2,49,,,
"Badan Tenaga Nuklir Nasional (BATAN)",2013,3,59,41,37,24
"Badan Tenaga Nuklir Nasional (BATAN)",2013,4,71,56,53,37
"Badan Tenaga Nuklir Nasional (BATAN)",2013,5,80,70,66,46
"Badan Tenaga Nuklir Nasional (BATAN)",2013,6,89,83,79,57
"Badan Tenaga Nuklir Nasional (BATAN)",2013,7,93,91,89,70
"Badan Tenaga Nuklir Nasional (BATAN)",2013,8,95,94,93,75
"Badan Tenaga Nuklir Nasional (BATAN)",2013,9,95,95,93,78
"Badan Tenaga Nuklir Nasional (BATAN)",2013,10,97,97,96,84
"Badan Tenaga Nuklir Nasional (BATAN)",2013,11,,,,
"Badan Tenaga Nuklir Nasional (BATAN)",2013,12,,,,
"Dewan Ketahanan Nasional",2012,1,5.8,,,
"Dewan Ketahanan Nasional",2012,2,16.6,,,
"Dewan Ketahanan Nasional",2012,3,24.9,,,
"Dewan Ketahanan Nasional",2012,4,33.2,,,
"Dewan Ketahanan Nasional",2012,5,41.5,,,
"Dewan Ketahanan Nasional",2012,6,49.8,,,
"Dewan Ketahanan Nasional",2012,7,58.1,,,
"Dewan Ketahanan Nasional",2012,8,66.4,,,
"Dewan Ketahanan Nasional",2012,9,74.7,,,52
"Dewan Ketahanan Nasional",2012,10,83,78,50,65
"Dewan Ketahanan Nasional",2012,11,90,85,80,85
"Dewan Ketahanan Nasional",2012,12,95,96,94,95
"Dewan Ketahanan Nasional",2013,1,.01,,,
"Dewan Ketahanan Nasional",2013,2,.02,,,
"Dewan Ketahanan Nasional",2013,3,,,,
"Dewan Ketahanan Nasional",2013,4,.03,,,
"Dewan Ketahanan Nasional",2013,5,.04,,,
"Dewan Ketahanan Nasional",2013,6,30,,,
"Dewan Ketahanan Nasional",2013,7,,,,
"Dewan Ketahanan Nasional",2013,8,65,100,47.57,
"Dewan Ketahanan Nasional",2013,9,,,,
"Dewan Ketahanan Nasional",2013,10,,,,
"Dewan Ketahanan Nasional",2013,11,,,,
"Dewan Ketahanan Nasional",2013,12,,,,
"Dewan Pertimbangan Presiden",2012,1,,,,
"Dewan Pertimbangan Presiden",2012,2,,,,
"Dewan Pertimbangan Presiden",2012,3,,,,
"Dewan Pertimbangan Presiden",2012,4,,,,
"Dewan Pertimbangan Presiden",2012,5,,,,
"Dewan Pertimbangan Presiden",2012,6,,,,
"Dewan Pertimbangan Presiden",2012,7,,,,
"Dewan Pertimbangan Presiden",2012,8,,,,
"Dewan Pertimbangan Presiden",2012,9,,,,
"Dewan Pertimbangan Presiden",2012,10,,,,
"Dewan Pertimbangan Presiden",2012,11,,,,
"Dewan Pertimbangan Presiden",2012,12,,,,
"Dewan Perwakilan Daerah",2012,1,2.52,,,
"Dewan Perwakilan Daerah",2012,2,5.52,,,
"Dewan Perwakilan Daerah",2012,3,12.72,7.2,6.95,7.3
"Dewan Perwakilan Daerah",2012,4,21.24,9.5,8.5,9.5
"Dewan Perwakilan Daerah",2012,5,31.88,16.8,15.45,16.8
"Dewan Perwakilan Daerah",2012,6,42.61,33.6,30.9,33.6
"Dewan Perwakilan Daerah",2012,7,42.61,33.6,30.9,33.6
"Dewan Perwakilan Daerah",2012,8,46.27,36.76,36.24,36.32
"Dewan Perwakilan Daerah",2012,9,49.13,45.24,40.5,49.13
"Dewan Perwakilan Daerah",2012,10,50.25,45.25,40.5,49.13
"Dewan Perwakilan Daerah",2012,11,52.18,47.32,45.1,50.33
"Dewan Perwakilan Daerah",2012,12,,,,
"Dewan Perwakilan Daerah",2013,1,9.89,,,
"Dewan Perwakilan Daerah",2013,2,19.72,,,
"Dewan Perwakilan Daerah",2013,3,29.45,29.59,29.59,25.53
"Dewan Perwakilan Daerah",2013,4,39.45,39.45,39.45,34.02
"Dewan Perwakilan Daerah",2013,5,49.08,49.08,39.45,42.55
"Dewan Perwakilan Daerah",2013,6,60.76,60.76,60.76,51.07
"Dewan Perwakilan Daerah",2013,7,74.31,74.31,74.31,59.57
"Dewan Perwakilan Daerah",2013,8,85.87,85.87,85.87,68.08
"Dewan Perwakilan Daerah",2013,9,,,,
"Dewan Perwakilan Daerah",2013,10,,,,
"Dewan Perwakilan Daerah",2013,11,,,,
"Dewan Perwakilan Daerah",2013,12,,,,
"Dewan Perwakilan Rakyat",2012,1,,,,
"Dewan Perwakilan Rakyat",2012,2,,,,
"Dewan Perwakilan Rakyat",2012,3,,,,
"Dewan Perwakilan Rakyat",2012,4,,,,
"Dewan Perwakilan Rakyat",2012,5,,,,
"Dewan Perwakilan Rakyat",2012,6,,,,
"Dewan Perwakilan Rakyat",2012,7,,,,
"Dewan Perwakilan Rakyat",2012,8,,,,
"Dewan Perwakilan Rakyat",2012,9,,,,
"Dewan Perwakilan Rakyat",2012,10,,,,
"Dewan Perwakilan Rakyat",2012,11,,,,
"Dewan Perwakilan Rakyat",2012,12,,,,
"Dewan Perwakilan Rakyat",2013,1,,,,
"Dewan Perwakilan Rakyat",2013,2,,,,
"Dewan Perwakilan Rakyat",2013,3,,,,
"Dewan Perwakilan Rakyat",2013,4,,,,
"Dewan Perwakilan Rakyat",2013,5,,,,
"Dewan Perwakilan Rakyat",2013,6,,,,
"Dewan Perwakilan Rakyat",2013,7,,,,
"Dewan Perwakilan Rakyat",2013,8,,,,
"Dewan Perwakilan Rakyat",2013,9,,,,
"Dewan Perwakilan Rakyat",2013,10,,,,
"Dewan Perwakilan Rakyat",2013,11,,,,
"Dewan Perwakilan Rakyat",2013,12,,,,
"Kejaksaan Agung",2012,1,,,,
"Kejaksaan Agung",2012,2,,,,
"Kejaksaan Agung",2012,3,,,,
"Kejaksaan Agung",2012,4,,,,
"Kejaksaan Agung",2012,5,,,,
"Kejaksaan Agung",2012,6,,,,
"Kejaksaan Agung",2012,7,,,,
"Kejaksaan Agung",2012,8,,,,
"Kejaksaan Agung",2012,9,,,,
"Kejaksaan Agung",2012,10,,,,
"Kejaksaan Agung",2012,11,,,,
"Kejaksaan Agung",2012,12,,,,
"Kejaksaan Agung",2013,1,.01,,,
"Kejaksaan Agung",2013,2,2,,,
"Kejaksaan Agung",2013,3,,,,
"Kejaksaan Agung",2013,4,,,,
"Kejaksaan Agung",2013,5,,,,
"Kejaksaan Agung",2013,6,,,,
"Kejaksaan Agung",2013,7,,,,
"Kejaksaan Agung",2013,8,,,,
"Kejaksaan Agung",2013,9,,,,
"Kejaksaan Agung",2013,10,,,,
"Kejaksaan Agung",2013,11,,,,
"Kejaksaan Agung",2013,12,,,,
"Kementerian Agama",2012,1,,,,
"Kementerian Agama",2012,2,,,,
"Kementerian Agama",2012,3,,,,
"Kementerian Agama",2012,4,,,,
"Kementerian Agama",2012,5,,,,
"Kementerian Agama",2012,6,,,,
"Kementerian Agama",2012,7,,,,
"Kementerian Agama",2012,8,,,,
"Kementerian Agama",2012,9,,,,
"Kementerian Agama",2012,10,,,,
"Kementerian Agama",2012,11,,,,
"Kementerian Agama",2012,12,,,,
"Kementerian Agama",2013,1,,,,
"Kementerian Agama",2013,2,,,,
"Kementerian Agama",2013,3,,,,
"Kementerian Agama",2013,4,,,,
"Kementerian Agama",2013,5,,,,
"Kementerian Agama",2013,6,,,,
"Kementerian Agama",2013,7,,,,
"Kementerian Agama",2013,8,,,,
"Kementerian Agama",2013,9,,,,
"Kementerian Agama",2013,10,79.82,59.69,56.92,50.22
"Kementerian Agama",2013,11,,,,
"Kementerian Agama",2013,12,,,,
"Kementerian Badan Usaha Milik Negara (BUMN)",2012,1,13.63,,,
"Kementerian Badan Usaha Milik Negara (BUMN)",2012,2,18.17,,,
"Kementerian Badan Usaha Milik Negara (BUMN)",2012,3,27.26,22.72,13.63,
"Kementerian Badan Usaha Milik Negara (BUMN)",2012,4,31.81,27.26,13.63,9.09
"Kementerian Badan Usaha Milik Negara (BUMN)",2012,5,31.81,27.26,13.63,13.63
"Kementerian Badan Usaha Milik Negara (BUMN)",2012,6,63.61,45.44,31.81,13.63
"Kementerian Badan Usaha Milik Negara (BUMN)",2012,7,63.61,45.44,31.81,13.63
"Kementerian Badan Usaha Milik Negara (BUMN)",2012,8,81.79,68.16,50,13.63
"Kementerian Badan Usaha Milik Negara (BUMN)",2012,9,94.83,77.25,95.45,13.63
"Kementerian Badan Usaha Milik Negara (BUMN)",2012,10,98,85.94,96,17.97
"Kementerian Badan Usaha Milik Negara (BUMN)",2012,11,100,100,100,48.41
"Kementerian Badan Usaha Milik Negara (BUMN)",2012,12,,100,100,100
"Kementerian Badan Usaha Milik Negara (BUMN)",2013,1,2.94,,,
"Kementerian Badan Usaha Milik Negara (BUMN)",2013,2,7.69,,,
"Kementerian Badan Usaha Milik Negara (BUMN)",2013,3,15.39,19.23,3.85,3.85
"Kementerian Badan Usaha Milik Negara (BUMN)",2013,4,23.08,21.15,21.15,3.85
"Kementerian Badan Usaha Milik Negara (BUMN)",2013,5,26.92,23.08,23.08,5.77
"Kementerian Badan Usaha Milik Negara (BUMN)",2013,6,34.62,28.85,28.85,9.62
"Kementerian Badan Usaha Milik Negara (BUMN)",2013,7,36.54,28.85,28.85,9.62
"Kementerian Badan Usaha Milik Negara (BUMN)",2013,8,40.38,34.62,34.62,13.46
"Kementerian Badan Usaha Milik Negara (BUMN)",2013,9,84.61,75,48.08,13.46
"Kementerian Badan Usaha Milik Negara (BUMN)",2013,10,86.53,75,48.08,13.46
"Kementerian Badan Usaha Milik Negara (BUMN)",2013,11,,,,
"Kementerian Badan Usaha Milik Negara (BUMN)",2013,12,,,,
"Kementerian Dalam Negeri",2012,1,7.3,,,
"Kementerian Dalam Negeri",2012,2,14.84,,,
