instansi,tahun,bulan,capaian_pengadaan,capaian_kontrak,capaian_pelaksanaan,capaian_PHO
"Badan Kepegawaian Negara",2013,9,,,,
"Badan Kepegawaian Negara",2013,10,,,,
"Badan Kepegawaian Negara",2013,11,,,,
"Badan Kepegawaian Negara",2013,12,,,,
"Badan Kependudukan Keluarga Berencana nasional (BKKBN)",2012,1,19.44,,,
"Badan Kependudukan Keluarga Berencana nasional (BKKBN)",2012,2,43.73,,,
"Badan Kependudukan Keluarga Berencana nasional (BKKBN)",2012,3,38.87,38.87,4.86,9.72
"Badan Kependudukan Keluarga Berencana nasional (BKKBN)",2012,4,29.15,34.01,6.71,26.82
"Badan Kependudukan Keluarga Berencana nasional (BKKBN)",2012,5,19,29,14,28
"Badan Kependudukan Keluarga Berencana nasional (BKKBN)",2012,6,,,23,34
"Badan Kependudukan Keluarga Berencana nasional (BKKBN)",2012,7,,,,
"Badan Kependudukan Keluarga Berencana nasional (BKKBN)",2012,8,,,,
"Badan Kependudukan Keluarga Berencana nasional (BKKBN)",2012,9,,,,
"Badan Kependudukan Keluarga Berencana nasional (BKKBN)",2012,10,,,,
"Badan Kependudukan Keluarga Berencana nasional (BKKBN)",2012,11,,,,
"Badan Kependudukan Keluarga Berencana nasional (BKKBN)",2012,12,,,,
"Badan Kependudukan Keluarga Berencana nasional (BKKBN)",2013,1,,,,
"Badan Kependudukan Keluarga Berencana nasional (BKKBN)",2013,2,,,,
"Badan Kependudukan Keluarga Berencana nasional (BKKBN)",2013,3,,,,
"Badan Kependudukan Keluarga Berencana nasional (BKKBN)",2013,4,,,,
"Badan Kependudukan Keluarga Berencana nasional (BKKBN)",2013,5,,,,
"Badan Kependudukan Keluarga Berencana nasional (BKKBN)",2013,6,,,,
"Badan Kependudukan Keluarga Berencana nasional (BKKBN)",2013,7,48,13,4,33
"Badan Kependudukan Keluarga Berencana nasional (BKKBN)",2013,8,,,,
"Badan Kependudukan Keluarga Berencana nasional (BKKBN)",2013,9,,,,
"Badan Kependudukan Keluarga Berencana nasional (BKKBN)",2013,10,,,,
"Badan Kependudukan Keluarga Berencana nasional (BKKBN)",2013,11,,,,
"Badan Kependudukan Keluarga Berencana nasional (BKKBN)",2013,12,,,,
"Badan Koordinasi Keamanan Laut",2012,1,,,,
"Badan Koordinasi Keamanan Laut",2012,2,58.33,,,
"Badan Koordinasi Keamanan Laut",2012,3,10,13.33,13.33,
"Badan Koordinasi Keamanan Laut",2012,4,8.33,35,5,
"Badan Koordinasi Keamanan Laut",2012,5,13.33,10,40,
"Badan Koordinasi Keamanan Laut",2012,6,,,,
"Badan Koordinasi Keamanan Laut",2012,7,,,,
"Badan Koordinasi Keamanan Laut",2012,8,,,,
"Badan Koordinasi Keamanan Laut",2012,9,,,,
"Badan Koordinasi Keamanan Laut",2012,10,,,,
"Badan Koordinasi Keamanan Laut",2012,11,,,,
"Badan Koordinasi Keamanan Laut",2012,12,,,,
"Badan Koordinasi Penanaman Modal (BKPM)",2012,1,15,,,
"Badan Koordinasi Penanaman Modal (BKPM)",2012,2,27,,,
"Badan Koordinasi Penanaman Modal (BKPM)",2012,3,38,22,12,5
"Badan Koordinasi Penanaman Modal (BKPM)",2012,4,53,32,20,7
"Badan Koordinasi Penanaman Modal (BKPM)",2012,5,60,42,26,10
"Badan Koordinasi Penanaman Modal (BKPM)",2012,6,68,54,48,14
"Badan Koordinasi Penanaman Modal (BKPM)",2012,7,74,63,58,17
"Badan Koordinasi Penanaman Modal (BKPM)",2012,8,83,76,75,20
"Badan Koordinasi Penanaman Modal (BKPM)",2012,9,91,85,82,25
"Badan Koordinasi Penanaman Modal (BKPM)",2012,10,94,89,88,31
"Badan Koordinasi Penanaman Modal (BKPM)",2012,11,99,98,98,53
"Badan Koordinasi Penanaman Modal (BKPM)",2012,12,99,99,99,99
"Badan Koordinasi Penanaman Modal (BKPM)",2013,1,30,,,
"Badan Koordinasi Penanaman Modal (BKPM)",2013,2,37,,,
"Badan Koordinasi Penanaman Modal (BKPM)",2013,3,50,25,16,6
"Badan Koordinasi Penanaman Modal (BKPM)",2013,4,69,35,31,6
"Badan Koordinasi Penanaman Modal (BKPM)",2013,5,74,48,40,7
"Badan Koordinasi Penanaman Modal (BKPM)",2013,6,84,59,57,8
"Badan Koordinasi Penanaman Modal (BKPM)",2013,7,85,61,60,10
"Badan Koordinasi Penanaman Modal (BKPM)",2013,8,89,68,67,10
"Badan Koordinasi Penanaman Modal (BKPM)",2013,9,91,82,75,11
"Badan Koordinasi Penanaman Modal (BKPM)",2013,10,94,86,81,15
"Badan Koordinasi Penanaman Modal (BKPM)",2013,11,,,,
"Badan Koordinasi Penanaman Modal (BKPM)",2013,12,,,,
"Badan Meteorologi Klimatologi dan Geofisika (BMKG)",2012,1,9.33,,,
"Badan Meteorologi Klimatologi dan Geofisika (BMKG)",2012,2,47.11,,,
"Badan Meteorologi Klimatologi dan Geofisika (BMKG)",2012,3,63.11,60.44,47.11,.89
"Badan Meteorologi Klimatologi dan Geofisika (BMKG)",2012,4,66.67,62.22,59.56,3.56
"Badan Meteorologi Klimatologi dan Geofisika (BMKG)",2012,5,70.67,66.22,61.78,6.22
"Badan Meteorologi Klimatologi dan Geofisika (BMKG)",2012,6,72,68,63.11,13.33
"Badan Meteorologi Klimatologi dan Geofisika (BMKG)",2012,7,77.78,73.78,67.56,19.56
"Badan Meteorologi Klimatologi dan Geofisika (BMKG)",2012,8,92,80.44,71.56,59.11
"Badan Meteorologi Klimatologi dan Geofisika (BMKG)",2012,9,96.44,90.22,88.44,61.33
"Badan Meteorologi Klimatologi dan Geofisika (BMKG)",2012,10,100,99.56,99.56,66.67
