tipe_entitas,nama_entitas,tahun,nilai
"Kontraktor","Pesona Khatulistiwa Nusantara (D/H Astra Binabakti Intisari)",2004,
"Kontraktor","Riau Bara Harum, PT",2004,
"Kontraktor","Santan Batubara, PT",2004,
"Kontraktor","Senamas Energindo Mulia, PT",2004,
"Kontraktor","Singlurus Pratama, PT",2004,
"Kontraktor","Sumber Kurnia Buana, PT",2004,586830.13
"Kontraktor","Tanito Harum, PT",2004,
"Kontraktor","Tanjung Alam Jaya, PT",2004,282415.63
"Kontraktor","Teguh Sinar Abadi, PT",2004,
"Kontraktor","Trubaindo Coal Mining, PT",2004,
"Kontraktor","Wahana Baratama Mining, PT",2004,
"Kuasa Pertambangan Swasta","Prov. Bengkulu",2004,
"Kuasa Pertambangan Swasta","Prov. Jambi",2004,
"Kuasa Pertambangan Swasta","Prov. Kalimantan Selatan",2004,
"Kuasa Pertambangan Swasta","Prov. Kalimantan Tengah",2004,
"Kuasa Pertambangan Swasta","Prov. Kalimantan Timur",2004,
"Kuasa Pertambangan Swasta","Prov. Riau",2004,
"Kuasa Pertambangan Swasta","Prov. Sumatera Barat",2004,
"Kuasa Pertambangan Swasta","Prov. Sumatera Selatan",2004,
"BUMN","Bukit Asam",2005,7151010
"BUMN","Bukit Asam - Ombilin",2005,41756
"BUMN","Bukit Asam - Tanjung Enim - Antrasit",2005,
"Kontraktor","Adaro Indonesia, PT",2005,8738327.2
"Kontraktor","Allied Indo Coal, PT",2005,
"Kontraktor","Antang Gunung Meratus, PT",2005,416864.82
"Kontraktor","Arutmin Indonesia, PT",2005,4576812.2
"Kontraktor","Asmin Koalindo Tuhup, PT",2005,
"Kontraktor","Bahari Cakrawala Sebuku, PT",2005,
"Kontraktor","Bangun Banua Persada Kalimantan, PT",2005,
"Kontraktor","Baramarta, PD",2005,398143.72
"Kontraktor","Baramulti Suksessarana, PT",2005,24874.45
"Kontraktor","Batualam Selaras, PT",2005,
"Kontraktor","Berau Coal, PT",2005,3752957
"Kontraktor","Borneo Indobara, PT",2005,
"Kontraktor","Firman Ketaun Perkasa, PT",2005,
"Kontraktor","Gunung Bayan Pratamacoal, PT",2005,3818317.3
"Kontraktor","Indominco Mandiri, PT",2005,46787
"Kontraktor","Insani Bara Perkasa, PT",2005,
"Kontraktor","Interex Sacra Raya, PT",2005,
"Kontraktor","Intitirta Primasakti, PT",2005,
"Kontraktor","Jorong Barutama Greston, PT",2005,840529.76
"Kontraktor","Kadya Caraka Mulia, PT",2005,167417
"Kontraktor","Kalimantan Energi Lestari, PT",2005,
"Kontraktor","Kaltim Prima Coal, PT",2005,905068
"Kontraktor","Kartika Selabumi Mining, PT",2005,992557.86
"Kontraktor","Kendilo Coal Indonesia, PT",2005,
"Kontraktor","Kideco Jaya Agung, PT",2005,6353879
"Kontraktor","Lanna Harita Indonesia, PT",2005,
"Kontraktor","Mahakam Sumber Jaya, PT",2005,1006097
"Kontraktor","Mandiri Intiperkasa, PT",2005,
"Kontraktor","Mantimin Coal Mining, PT",2005,
"Kontraktor","Marunda Graha Mineral, PT",2005,
"Kontraktor","Multi Harapan Utama, PT",2005,242323.82
"Kontraktor","Multi Tambangjaya Utama, PT",2005,
"Kontraktor","Nusantara Termal Coal, PT",2005,
"Kontraktor","Pendopo Energi Batubara (D/H Pt Barito Putra)",2005,
"Kontraktor","Perkasa Inakakerta, PT",2005,
"Kontraktor","Pesona Khatulistiwa Nusantara (D/H Astra Binabakti Intisari)",2005,
"Kontraktor","Riau Bara Harum, PT",2005,68400.27
"Kontraktor","Santan Batubara, PT",2005,
"Kontraktor","Senamas Energindo Mulia, PT",2005,
"Kontraktor","Singlurus Pratama, PT",2005,
"Kontraktor","Sumber Kurnia Buana, PT",2005,497650.8
"Kontraktor","Tanito Harum, PT",2005,9129
"Kontraktor","Tanjung Alam Jaya, PT",2005,
"Kontraktor","Teguh Sinar Abadi, PT",2005,
"Kontraktor","Trubaindo Coal Mining, PT",2005,1171441.6
"Kontraktor","Wahana Baratama Mining, PT",2005,
"Kuasa Pertambangan Swasta","Prov. Bengkulu",2005,
"Kuasa Pertambangan Swasta","Prov. Jambi",2005,
"Kuasa Pertambangan Swasta","Prov. Kalimantan Selatan",2005,
"Kuasa Pertambangan Swasta","Prov. Kalimantan Tengah",2005,
"Kuasa Pertambangan Swasta","Prov. Kalimantan Timur",2005,
"Kuasa Pertambangan Swasta","Prov. Riau",2005,
"Kuasa Pertambangan Swasta","Prov. Sumatera Barat",2005,
"Kuasa Pertambangan Swasta","Prov. Sumatera Selatan",2005,
"BUMN","Bukit Asam",2006,6753252
"BUMN","Bukit Asam - Ombilin",2006,1622.1
"BUMN","Bukit Asam - Tanjung Enim - Antrasit",2006,
"Kontraktor","Adaro Indonesia, PT",2006,10023713
"Kontraktor","Allied Indo Coal, PT",2006,
"Kontraktor","Antang Gunung Meratus, PT",2006,279590.67
"Kontraktor","Arutmin Indonesia, PT",2006,882296.4
"Kontraktor","Asmin Koalindo Tuhup, PT",2006,
"Kontraktor","Bahari Cakrawala Sebuku, PT",2006,
"Kontraktor","Bangun Banua Persada Kalimantan, PT",2006,158900.56
"Kontraktor","Baramarta, PD",2006,
"Kontraktor","Baramulti Suksessarana, PT",2006,
"Kontraktor","Batualam Selaras, PT",2006,
"Kontraktor","Berau Coal, PT",2006,3223516.4
"Kontraktor","Borneo Indobara, PT",2006,213621.52
"Kontraktor","Firman Ketaun Perkasa, PT",2006,
"Kontraktor","Gunung Bayan Pratamacoal, PT",2006,4209902.1
"Kontraktor","Indominco Mandiri, PT",2006,998696
"Kontraktor","Insani Bara Perkasa, PT",2006,30495.94
"Kontraktor","Interex Sacra Raya, PT",2006,21613.98
"Kontraktor","Intitirta Primasakti, PT",2006,
"Kontraktor","Jorong Barutama Greston, PT",2006,434520.27
"Kontraktor","Kadya Caraka Mulia, PT",2006,
"Kontraktor","Kalimantan Energi Lestari, PT",2006,90915.02
"Kontraktor","Kaltim Prima Coal, PT",2006,1188333
"Kontraktor","Kartika Selabumi Mining, PT",2006,1109713.3
"Kontraktor","Kendilo Coal Indonesia, PT",2006,
"Kontraktor","Kideco Jaya Agung, PT",2006,4807555
"Kontraktor","Lanna Harita Indonesia, PT",2006,
"Kontraktor","Mahakam Sumber Jaya, PT",2006,
"Kontraktor","Mandiri Intiperkasa, PT",2006,32378.31
"Kontraktor","Mantimin Coal Mining, PT",2006,
"Kontraktor","Marunda Graha Mineral, PT",2006,
"Kontraktor","Multi Harapan Utama, PT",2006,316325.02
"Kontraktor","Multi Tambangjaya Utama, PT",2006,
"Kontraktor","Nusantara Termal Coal, PT",2006,128565.58
"Kontraktor","Pendopo Energi Batubara (D/H Pt Barito Putra)",2006,
"Kontraktor","Perkasa Inakakerta, PT",2006,
"Kontraktor","Pesona Khatulistiwa Nusantara (D/H Astra Binabakti Intisari)",2006,
"Kontraktor","Riau Bara Harum, PT",2006,753781.49
"Kontraktor","Santan Batubara, PT",2006,
"Kontraktor","Senamas Energindo Mulia, PT",2006,
"Kontraktor","Singlurus Pratama, PT",2006,
"Kontraktor","Sumber Kurnia Buana, PT",2006,
"Kontraktor","Tanito Harum, PT",2006,
"Kontraktor","Tanjung Alam Jaya, PT",2006,749997
"Kontraktor","Teguh Sinar Abadi, PT",2006,
"Kontraktor","Trubaindo Coal Mining, PT",2006,1589191.1
"Kontraktor","Wahana Baratama Mining, PT",2006,
"Kuasa Pertambangan Swasta","Prov. Bengkulu",2006,
"Kuasa Pertambangan Swasta","Prov. Jambi",2006,
"Kuasa Pertambangan Swasta","Prov. Kalimantan Selatan",2006,
"Kuasa Pertambangan Swasta","Prov. Kalimantan Tengah",2006,
"Kuasa Pertambangan Swasta","Prov. Kalimantan Timur",2006,
"Kuasa Pertambangan Swasta","Prov. Riau",2006,
"Kuasa Pertambangan Swasta","Prov. Sumatera Barat",2006,
"Kuasa Pertambangan Swasta","Prov. Sumatera Selatan",2006,
"BUMN","Bukit Asam",2007,6694418
"BUMN","Bukit Asam - Ombilin",2007,184733.55
"BUMN","Bukit Asam - Tanjung Enim - Antrasit",2007,
"Kontraktor","Adaro Indonesia, PT",2007,9837045.7
"Kontraktor","Allied Indo Coal, PT",2007,73851.78
"Kontraktor","Antang Gunung Meratus, PT",2007,275153.05
"Kontraktor","Arutmin Indonesia, PT",2007,2033171.1
"Kontraktor","Asmin Koalindo Tuhup, PT",2007,
"Kontraktor","Bahari Cakrawala Sebuku, PT",2007,
"Kontraktor","Bangun Banua Persada Kalimantan, PT",2007,338650.32
"Kontraktor","Baramarta, PD",2007,3722969
"Kontraktor","Baramulti Suksessarana, PT",2007,
"Kontraktor","Batualam Selaras, PT",2007,
"Kontraktor","Berau Coal, PT",2007,4191278.6
"Kontraktor","Borneo Indobara, PT",2007,
"Kontraktor","Firman Ketaun Perkasa, PT",2007,
"Kontraktor","Gunung Bayan Pratamacoal, PT",2007,3525877.1
"Kontraktor","Indominco Mandiri, PT",2007,260047
"Kontraktor","Insani Bara Perkasa, PT",2007,42688.94
"Kontraktor","Interex Sacra Raya, PT",2007,
"Kontraktor","Intitirta Primasakti, PT",2007,
"Kontraktor","Jorong Barutama Greston, PT",2007,736569.14
"Kontraktor","Kadya Caraka Mulia, PT",2007,198548.12
"Kontraktor","Kalimantan Energi Lestari, PT",2007,
"Kontraktor","Kaltim Prima Coal, PT",2007,2726875
"Kontraktor","Kartika Selabumi Mining, PT",2007,593673.33
"Kontraktor","Kendilo Coal Indonesia, PT",2007,
