nama_perusahaan,komoditas,satuan,tahun,nilai
"Lusang Mining, PT","Silver","kg",2002,
"Ampalit Mas Perdana, PT","Gold","kg",2002,
"Ampalit Mas Perdana, PT","Silver","kg",2002,
"Monterado Mas Mining, PT","Gold","kg",2002,
"Monterado Mas Mining, PT","Silver","kg",2002,
"Prima Lirang Mining, PT","Gold","kg",2002,
"Prima Lirang Mining, PT","Silver","kg",2002,
"Kelian Equatorial Mining, PT","Gold","kg",2002,16875
"Kelian Equatorial Mining, PT","Silver","kg",2002,15540
"Indo Muro Kencana, PT","Gold","kg",2002,
"Indo Muro Kencana, PT","Silver","kg",2002,
"Newmont Minahasa Raya, PT","Gold","kg",2002,4870
"Newmont Minahasa Raya, PT","Silver","kg",2002,505
"Barisan Tropical Mining, PT","Gold","kg",2002,
"Barisan Tropical Mining, PT","Silver","kg",2002,
"Newmont Nusa Tenggara, PT","Copper","ton",2002,302882
"Newmont Nusa Tenggara, PT","Gold","kg",2002,15501
"Newmont Nusa Tenggara, PT","Silver","kg",2002,57081
"Nusa Halmahera Minerals, PT","Gold","kg",2002,3846
"Nusa Halmahera Minerals, PT","Silver","kg",2002,7320
"Avocet Bolaang Mongondouw, PT","Gold","kg",2002,
"Avocet Bolaang Mongondouw, PT","Silver","kg",2002,
"Galuh Cempaka, PT","Diamond","crt",2002,
"Galuh Cempaka, PT","Gold","kg",2002,
"Aneka Tambang Tbk, PT","Nickel ore","wmt",2003,3239598
"Aneka Tambang Tbk, PT","Ferro nickel","mt",2003,40976
"Aneka Tambang Tbk, PT","Ni In Fe Ni","ton",2003,8288
"Aneka Tambang Tbk, PT","Gold","kg",2003,2080
"Aneka Tambang Tbk, PT","Silver","kg",2003,26627
"Aneka Tambang Tbk, PT","Bauxite","mt",2003,1093965
"Aneka Tambang Tbk, PT","Iron sand","wmt",2003,
"Timah Tbk, PT","Tin metal","ton",2003,43011
"Freeport Indonesia, PT","Copper","ton",2003,567576
"Freeport Indonesia, PT","Gold","kg",2003,74582
"Freeport Indonesia, PT","Silver","kg",2003,118473
"Koba Tin, PT","Tin metal","ton",2003,11976
"International Nickel Ind, PT","Ni+Co in matte","ton",2003,71521
"Gunung Kikara Mining, PT","Tin metal","ton",2003,
"Karimun Granite, PT","Granite","ton",2003,3279660
"Lusang Mining, PT","Gold","kg",2003,
"Lusang Mining, PT","Silver","kg",2003,
"Ampalit Mas Perdana, PT","Gold","kg",2003,
"Ampalit Mas Perdana, PT","Silver","kg",2003,
"Monterado Mas Mining, PT","Gold","kg",2003,
"Monterado Mas Mining, PT","Silver","kg",2003,
"Prima Lirang Mining, PT","Gold","kg",2003,
"Prima Lirang Mining, PT","Silver","kg",2003,
"Kelian Equatorial Mining, PT","Gold","kg",2003,13595
"Kelian Equatorial Mining, PT","Silver","kg",2003,9300
"Indo Muro Kencana, PT","Gold","kg",2003,
"Indo Muro Kencana, PT","Silver","kg",2003,
"Newmont Minahasa Raya, PT","Gold","kg",2003,2892
"Newmont Minahasa Raya, PT","Silver","kg",2003,
"Barisan Tropical Mining, PT","Gold","kg",2003,
"Barisan Tropical Mining, PT","Silver","kg",2003,
"Newmont Nusa Tenggara, PT","Copper","ton",2003,287442
"Newmont Nusa Tenggara, PT","Gold","kg",2003,18679
"Newmont Nusa Tenggara, PT","Silver","kg",2003,60284
"Nusa Halmahera Minerals, PT","Gold","kg",2003,326
"Nusa Halmahera Minerals, PT","Silver","kg",2003,845
"Avocet Bolaang Mongondouw, PT","Gold","kg",2003,
"Avocet Bolaang Mongondouw, PT","Silver","kg",2003,
"Galuh Cempaka, PT","Diamond","crt",2003,
"Galuh Cempaka, PT","Gold","kg",2003,
"Aneka Tambang Tbk, PT","Nickel ore","wmt",2004,3907042
"Aneka Tambang Tbk, PT","Ferro nickel","mt",2004,36122
"Aneka Tambang Tbk, PT","Ni In Fe Ni","ton",2004,7157
"Aneka Tambang Tbk, PT","Gold","kg",2004,1595
"Aneka Tambang Tbk, PT","Silver","kg",2004,5347
"Aneka Tambang Tbk, PT","Bauxite","mt",2004,1326559
"Aneka Tambang Tbk, PT","Iron sand","wmt",2004,103328
"Timah Tbk, PT","Tin metal","ton",2004,33492
"Freeport Indonesia, PT","Copper","ton",2004,512948
"Freeport Indonesia, PT","Gold","kg",2004,47407
"Freeport Indonesia, PT","Silver","kg",2004,146209
"Koba Tin, PT","Tin metal","ton",2004,26063
"International Nickel Ind, PT","Ni+Co in matte","ton",2004,6003
"Gunung Kikara Mining, PT","Tin metal","ton",2004,
"Karimun Granite, PT","Granite","ton",2004,3498873
"Lusang Mining, PT","Gold","kg",2004,
"Lusang Mining, PT","Silver","kg",2004,
"Ampalit Mas Perdana, PT","Gold","kg",2004,
"Ampalit Mas Perdana, PT","Silver","kg",2004,
"Monterado Mas Mining, PT","Gold","kg",2004,
"Monterado Mas Mining, PT","Silver","kg",2004,
"Prima Lirang Mining, PT","Gold","kg",2004,
"Prima Lirang Mining, PT","Silver","kg",2004,
"Kelian Equatorial Mining, PT","Gold","kg",2004,8645
"Kelian Equatorial Mining, PT","Silver","kg",2004,4600
"Indo Muro Kencana, PT","Gold","kg",2004,
"Indo Muro Kencana, PT","Silver","kg",2004,
"Newmont Minahasa Raya, PT","Gold","kg",2004,2065
"Newmont Minahasa Raya, PT","Silver","kg",2004,
"Barisan Tropical Mining, PT","Gold","kg",2004,
"Barisan Tropical Mining, PT","Silver","kg",2004,
"Newmont Nusa Tenggara, PT","Copper","ton",2004,323575
"Newmont Nusa Tenggara, PT","Gold","kg",2004,22257
"Newmont Nusa Tenggara, PT","Silver","kg",2004,69949
"Nusa Halmahera Minerals, PT","Gold","kg",2004,5846
"Nusa Halmahera Minerals, PT","Silver","kg",2004,6883
"Avocet Bolaang Mongondouw, PT","Gold","kg",2004,
"Avocet Bolaang Mongondouw, PT","Silver","kg",2004,
"Galuh Cempaka, PT","Diamond","crt",2004,
"Galuh Cempaka, PT","Gold","kg",2004,
"Aneka Tambang Tbk, PT","Nickel ore","wmt",2005,2688477
"Aneka Tambang Tbk, PT","Ferro nickel","mt",2005,24463
"Aneka Tambang Tbk, PT","Ni In Fe Ni","ton",2005,4930
"Aneka Tambang Tbk, PT","Gold","kg",2005,753
"Aneka Tambang Tbk, PT","Silver","kg",2005,9257
"Aneka Tambang Tbk, PT","Bauxite","mt",2005,1039380
"Aneka Tambang Tbk, PT","Iron sand","wmt",2005,
"Timah Tbk, PT","Tin metal","ton",2005,41123
"Freeport Indonesia, PT","Copper","ton",2005,784732
"Freeport Indonesia, PT","Gold","kg",2005,106563
"Freeport Indonesia, PT","Silver","kg",2005,221904
"Koba Tin, PT","Tin metal","ton",2005,25797
"International Nickel Ind, PT","Ni+Co in matte","ton",2005,77218
"Gunung Kikara Mining, PT","Tin metal","ton",2005,
"Karimun Granite, PT","Granite","ton",2005,3856074
"Lusang Mining, PT","Gold","kg",2005,
"Lusang Mining, PT","Silver","kg",2005,
"Ampalit Mas Perdana, PT","Gold","kg",2005,
"Ampalit Mas Perdana, PT","Silver","kg",2005,
"Monterado Mas Mining, PT","Gold","kg",2005,
"Monterado Mas Mining, PT","Silver","kg",2005,
"Prima Lirang Mining, PT","Gold","kg",2005,
"Prima Lirang Mining, PT","Silver","kg",2005,
"Kelian Equatorial Mining, PT","Gold","kg",2005,2815
"Kelian Equatorial Mining, PT","Silver","kg",2005,
"Indo Muro Kencana, PT","Gold","kg",2005,349
"Indo Muro Kencana, PT","Silver","kg",2005,2276
"Newmont Minahasa Raya, PT","Gold","kg",2005,
"Newmont Minahasa Raya, PT","Silver","kg",2005,
"Barisan Tropical Mining, PT","Gold","kg",2005,
"Barisan Tropical Mining, PT","Silver","kg",2005,
"Newmont Nusa Tenggara, PT","Copper","ton",2005,270046
"Newmont Nusa Tenggara, PT","Gold","kg",2005,22761
"Newmont Nusa Tenggara, PT","Silver","kg",2005,67343
"Nusa Halmahera Minerals, PT","Gold","kg",2005,5661
"Nusa Halmahera Minerals, PT","Silver","kg",2005,5607
"Avocet Bolaang Mongondouw, PT","Gold","kg",2005,1415
"Avocet Bolaang Mongondouw, PT","Silver","kg",2005,215
"Galuh Cempaka, PT","Diamond","crt",2005,24075
"Galuh Cempaka, PT","Gold","kg",2005,4
"Aneka Tambang Tbk, PT","Nickel ore","wmt",2006,4309134
"Aneka Tambang Tbk, PT","Ferro nickel","mt",2006,
