kode_provinsi,nama_provinsi,tingkat_pendidikan,jenis_kelamin,jumlah_individu
75,"Prov. Gorontalo","SMPT/SMPLB/Paket B","Perempuan",10152
76,"Prov. Sulawesi Barat","M. Aliyah","Laki-Laki",422
76,"Prov. Sulawesi Barat","M. Aliyah","Perempuan",432
76,"Prov. Sulawesi Barat","M. Ibtidaiyah","Laki-Laki",1258
76,"Prov. Sulawesi Barat","M. Ibtidaiyah","Perempuan",1212
76,"Prov. Sulawesi Barat","M. Tsanawiyah","Laki-Laki",1240
76,"Prov. Sulawesi Barat","M. Tsanawiyah","Perempuan",1266
76,"Prov. Sulawesi Barat","Perguruan Tinggi","Laki-Laki",1057
76,"Prov. Sulawesi Barat","Perguruan Tinggi","Perempuan",1219
76,"Prov. Sulawesi Barat","SD/SDLB/Paket A","Laki-Laki",38265
76,"Prov. Sulawesi Barat","SD/SDLB/Paket A","Perempuan",35576
76,"Prov. Sulawesi Barat","SMA/SMK/SMALB/Paket C","Laki-Laki",5062
76,"Prov. Sulawesi Barat","SMA/SMK/SMALB/Paket C","Perempuan",5620
76,"Prov. Sulawesi Barat","SMPT/SMPLB/Paket B","Laki-Laki",9737
76,"Prov. Sulawesi Barat","SMPT/SMPLB/Paket B","Perempuan",10456
81,"Prov. Maluku","M. Aliyah","Laki-Laki",270
81,"Prov. Maluku","M. Aliyah","Perempuan",367
81,"Prov. Maluku","M. Ibtidaiyah","Laki-Laki",1394
81,"Prov. Maluku","M. Ibtidaiyah","Perempuan",1279
81,"Prov. Maluku","M. Tsanawiyah","Laki-Laki",987
81,"Prov. Maluku","M. Tsanawiyah","Perempuan",1020
81,"Prov. Maluku","Perguruan Tinggi","Laki-Laki",2649
81,"Prov. Maluku","Perguruan Tinggi","Perempuan",3858
81,"Prov. Maluku","SD/SDLB/Paket A","Laki-Laki",68498
81,"Prov. Maluku","SD/SDLB/Paket A","Perempuan",62170
81,"Prov. Maluku","SMA/SMK/SMALB/Paket C","Laki-Laki",14437
81,"Prov. Maluku","SMA/SMK/SMALB/Paket C","Perempuan",13745
81,"Prov. Maluku","SMPT/SMPLB/Paket B","Laki-Laki",23066
81,"Prov. Maluku","SMPT/SMPLB/Paket B","Perempuan",21673
82,"Prov. Maluku Utara","M. Aliyah","Laki-Laki",303
82,"Prov. Maluku Utara","M. Aliyah","Perempuan",318
82,"Prov. Maluku Utara","M. Ibtidaiyah","Laki-Laki",833
82,"Prov. Maluku Utara","M. Ibtidaiyah","Perempuan",919
82,"Prov. Maluku Utara","M. Tsanawiyah","Laki-Laki",672
82,"Prov. Maluku Utara","M. Tsanawiyah","Perempuan",596
82,"Prov. Maluku Utara","Perguruan Tinggi","Laki-Laki",1348
82,"Prov. Maluku Utara","Perguruan Tinggi","Perempuan",1412
82,"Prov. Maluku Utara","SD/SDLB/Paket A","Laki-Laki",31179
82,"Prov. Maluku Utara","SD/SDLB/Paket A","Perempuan",28485
82,"Prov. Maluku Utara","SMA/SMK/SMALB/Paket C","Laki-Laki",6239
82,"Prov. Maluku Utara","SMA/SMK/SMALB/Paket C","Perempuan",5887
82,"Prov. Maluku Utara","SMPT/SMPLB/Paket B","Laki-Laki",9914
82,"Prov. Maluku Utara","SMPT/SMPLB/Paket B","Perempuan",9253
91,"Prov. Papua Barat","M. Aliyah","Laki-Laki",33
91,"Prov. Papua Barat","M. Aliyah","Perempuan",49
91,"Prov. Papua Barat","M. Ibtidaiyah","Laki-Laki",371
91,"Prov. Papua Barat","M. Ibtidaiyah","Perempuan",378
91,"Prov. Papua Barat","M. Tsanawiyah","Laki-Laki",148
91,"Prov. Papua Barat","M. Tsanawiyah","Perempuan",138
91,"Prov. Papua Barat","Perguruan Tinggi","Laki-Laki",3182
91,"Prov. Papua Barat","Perguruan Tinggi","Perempuan",2701
91,"Prov. Papua Barat","SD/SDLB/Paket A","Laki-Laki",35409
91,"Prov. Papua Barat","SD/SDLB/Paket A","Perempuan",31608
91,"Prov. Papua Barat","SMA/SMK/SMALB/Paket C","Laki-Laki",7857
91,"Prov. Papua Barat","SMA/SMK/SMALB/Paket C","Perempuan",6561
91,"Prov. Papua Barat","SMPT/SMPLB/Paket B","Laki-Laki",11015
91,"Prov. Papua Barat","SMPT/SMPLB/Paket B","Perempuan",10002
94,"Prov. Papua","M. Aliyah","Laki-Laki",29
94,"Prov. Papua","M. Aliyah","Perempuan",22
94,"Prov. Papua","M. Ibtidaiyah","Laki-Laki",494
94,"Prov. Papua","M. Ibtidaiyah","Perempuan",419
94,"Prov. Papua","M. Tsanawiyah","Laki-Laki",72
94,"Prov. Papua","M. Tsanawiyah","Perempuan",74
94,"Prov. Papua","Perguruan Tinggi","Laki-Laki",8048
94,"Prov. Papua","Perguruan Tinggi","Perempuan",5316
94,"Prov. Papua","SD/SDLB/Paket A","Laki-Laki",115180
94,"Prov. Papua","SD/SDLB/Paket A","Perempuan",96504
94,"Prov. Papua","SMA/SMK/SMALB/Paket C","Laki-Laki",28790
94,"Prov. Papua","SMA/SMK/SMALB/Paket C","Perempuan",21148
94,"Prov. Papua","SMPT/SMPLB/Paket B","Laki-Laki",39464
94,"Prov. Papua","SMPT/SMPLB/Paket B","Perempuan",31639
